Funding Cycle,County Name,Visit Type,Item,Variable,Variable Detail,Frequency Count,Percent of Total Frequency,Date Closed,Location
2006-2009,Erie,Initial visits,Housing condition,Smoker in home,Yes,755,27.1,10/27/2017,"(42.888143, -78.795544)"
2006-2009,All counties,Initial visits,Respondent demographics,Receives public assistance,Yes,6596,46,10/27/2017,
2006-2009,Albany,Initial visits,Housing condition,"Mold or mildew, observed or smell",Unknown,10,1.4,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Tioga,Initial visits,Housing condition,Deteriorated paint outside,Unknown,66,22.6,10/27/2017,"(42.120252, -76.29595)"
2006-2009,Albany,Revisits,Housing condition,Smoking allowed in home,No,21,28,10/27/2017,"(42.678066, -73.814233)"
2014-2019,NYC-Queens,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,Unknown,1,10,10/27/2017,"(40.749338, -73.789673)"
2006-2009,Onondaga,Initial visits,Housing condition,Improperly stored flammables,Unknown,56,4,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Erie,Initial visits,Housing condition,Significant dust accumulation,No,3925,98.1,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Schenectady,Initial visits,Housing condition,"Cockroaches, evidence or reported",Yes,107,12.9,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Westchester,Revisits,Housing condition,Significant dust accumulation,Yes,2,7.7,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Cortland,Initial visits,Housing information,Age of building,Pre-1950,388,43.3,10/27/2017,"(42.597101, -76.143291)"
2009-2014,Orange,Initial visits,Housing condition,Residents practice exit drills,Unknown,276,10.4,10/27/2017,"(41.422459, -74.241929)"
2014-2019,NYC-Kings,Revisits,Housing condition,"Mice, evidence or reported",Yes,2,6.5,10/27/2017,"(40.65642, -73.950691)"
2014-2019,Clinton,Initial visits,Housing information,Renter/owner,"Rent, public",132,8.1,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Tioga,Initial visits,Housing condition,Chemical smell indoors,No,811,94.2,10/27/2017,"(42.120252, -76.29595)"
2014-2019,Rockland,Initial visits,Housing condition,Significant dust accumulation,No,1254,98,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Westchester,Revisits,Housing condition,Electrical hazards,Unknown,4,15.4,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Erie,Revisits,Housing condition,Roofing or structural leaks,Yes,3,0.4,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Broome,Initial visits,Respondent demographics,High school diploma or equivalent,Yes,727,71.3,10/27/2017,"(42.122015, -75.933191)"
2009-2014,Tompkins,Initial visits,Housing condition,"Mold or mildew, observed or smell",No,1291,79.6,10/27/2017,"(42.461024, -76.478784)"
2014-2019,NYC-Bronx,Initial visits,Housing condition,Improperly stored garbage near building,No,162,74.3,10/27/2017,"(40.85589, -73.868294)"
2014-2019,Niagara,Initial visits,Respondent demographics,Race: Other not specified,Other not specified,7,0.5,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Rensselaer,Initial visits,Housing condition,Functional smoke detectors in common areas,Yes,873,64,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Monroe,Revisits,Housing condition,"Mold or mildew, observed or smell",Yes,8,2.2,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Tompkins,Revisits,Housing condition,Chemical smell indoors,No,484,98.4,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Tompkins,Revisits,Housing condition,"Rats, evidence or reported",Improved,8,1.6,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Clinton,Initial visits,Housing condition,Effective housecleaning,Unknown,80,9,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Rensselaer,Revisits,Housing condition,Effective housecleaning,Yes,217,86.1,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Albany,Revisits,Housing condition,Plumbing leaks,No,26,100,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Oneida,Revisits,Housing condition,Functional smoke detector on every floor,Improved,70,33,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Orange,Initial visits,Housing condition,Furnace filter dirty or missing,Yes,12,0.5,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Rensselaer,Initial visits,Housing condition,"Mice, evidence or reported",Unknown,12,0.9,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Onondaga,Revisits,Housing condition,"Mold or mildew, observed or smell",Yes,102,12.7,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Niagara,Initial visits,Housing condition,Improperly stored garbage inside,Unknown,312,12.8,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Monroe,Initial visits,Respondent demographics,Race: White,White,278,27.9,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Oneida,Initial visits,Housing information,Renter/owner,,7,0.9,10/27/2017,"(43.149482, -75.361773)"
2014-2019,All counties,Initial visits,Housing condition,Chemical smell indoors,Unknown,1273,4.7,10/27/2017,
2014-2019,Rensselaer,Initial visits,Respondent demographics,Hispanic ethnicity,Unknown,41,3,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Rockland,Initial visits,Housing condition,Every room has ventilation,Yes,1754,97,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Albany,Initial visits,Housing condition,Improperly stored garbage inside,No,18,78.3,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Rensselaer,Revisits,Housing condition,Wall-to-wall carpeting or large rugs,Unknown,11,7.3,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Rensselaer,Initial visits,Housing condition,Deteriorated paint inside,No,287,72.8,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Rensselaer,Initial visits,Respondent demographics,Receives public assistance,Yes,49,9.2,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Erie,Revisits,Housing condition,"Cockroaches, evidence or reported",Yes,2,0.2,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Clinton,Revisits,Housing condition,Effective housecleaning,No,20,3.8,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Orange,Revisits,Housing condition,"Mice, evidence or reported",Yes,39,8.5,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Albany,Initial visits,Housing condition,Significant clutter,Yes,5,21.7,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Oneida,Revisits,Housing condition,Working carbon monoxide detector,Improved,137,64.6,10/27/2017,"(43.149482, -75.361773)"
2006-2009,Onondaga,Initial visits,Housing condition,Effective housecleaning,Unknown,35,2.5,10/27/2017,"(43.065629, -76.168033)"
2014-2019,NYC-Queens,Revisits,Housing condition,"Mold or mildew, observed or smell",No,4,100,10/27/2017,"(40.749338, -73.789673)"
2006-2009,Erie,Initial visits,Housing condition,Improperly stored garbage near building,Yes,59,2.1,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Albany,Revisits,Housing condition,Improperly stored flammables,Unknown,41,17.6,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Albany,Initial visits,Housing information,Units in building,Unknown,2,0.3,10/27/2017,"(42.678066, -73.814233)"
2014-2019,NYC-Queens,Revisits,Housing condition,Functional fire extinguisher,No,3,75,10/27/2017,"(40.749338, -73.789673)"
2006-2009,Rensselaer,Initial visits,Housing condition,Functional smoke detector on every floor,Yes,419,78.6,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Niagara,Initial visits,Housing condition,"Cockroaches, evidence or reported",No,2392,98.1,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Westchester,Revisits,Housing condition,Chemical smell indoors,Unknown,8,3.4,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Monroe,Revisits,Housing condition,Wall-to-wall carpeting or large rugs,Unknown,1,0.4,10/27/2017,"(43.161748, -77.620143)"
2006-2009,All counties,Revisits,Housing condition,Roofing or structural leaks,No,3045,91.9,10/27/2017,
2014-2019,Rockland,Initial visits,Housing condition,Roofing or structural leaks,Unknown,2,0.2,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Rensselaer,Initial visits,Housing condition,Exits function properly,Unknown,22,1.6,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Schenectady,Revisits,Housing condition,Furnace filter dirty or missing,Improved,2,1,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Tompkins,Revisits,Housing condition,Smoking limited to certain rooms,No,25,32.1,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Orange,Initial visits,Housing condition,"Cockroaches, evidence or reported",Unknown,15,0.6,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Onondaga,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",Unknown,1,0.1,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Monroe,Initial visits,Housing information,Units in building,4 units,80,4.3,10/27/2017,"(43.161748, -77.620143)"
2014-2019,NYC-Bronx,Initial visits,Housing condition,Significant dust accumulation,No,187,85.8,10/27/2017,"(40.85589, -73.868294)"
2014-2019,Monroe,Initial visits,Respondent demographics,Race: Black,Black/African American,1456,77.4,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Westchester,Initial visits,Housing condition,Improperly stored garbage near building,No,1389,94.9,10/27/2017,"(41.039278, -73.805386)"
2006-2009,All counties,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",Improved,37,1.1,10/27/2017,
2009-2014,Erie,Initial visits,Housing condition,Smoker in home,Yes,1554,36.6,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Albany,Initial visits,Housing condition,Smell of scented products,Yes,33,4.7,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Tompkins,Initial visits,Housing condition,Improperly stored garbage inside,Yes,65,4.4,10/27/2017,"(42.461024, -76.478784)"
2006-2009,All counties,Revisits,Housing condition,Every room has ventilation,No,65,2,10/27/2017,
2014-2019,Oneida,Initial visits,Housing condition,"Cockroaches, evidence or reported",Yes,15,1.4,10/27/2017,"(43.149482, -75.361773)"
2006-2009,Schenectady,Initial visits,Housing condition,Food/harborage for cockroaches,Yes,42,7.1,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Monroe,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,No,862,32.9,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Albany,Initial visits,Housing condition,Improperly stored flammables,Unknown,73,5.7,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Orange,Initial visits,Housing condition,Smoking limited to certain rooms,No,531,73.9,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Orange,Revisits,Housing condition,Functional smoke detector on every floor,No,20,4.4,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Rensselaer,Initial visits,Housing condition,Exits function properly,Yes,523,98.1,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Orange,Revisits,Housing condition,"Cockroaches, evidence or reported",Unknown,1,0.2,10/27/2017,"(41.422459, -74.241929)"
2014-2019,All counties,Initial visits,Housing condition,Food/harborage for cockroaches,Unknown,873,3.2,10/27/2017,
2009-2014,Orange,Revisits,Housing condition,Exits function properly,Unknown,10,2.2,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Clinton,Initial visits,Housing condition,Smoking limited to certain rooms,Not applicable,1358,,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Schenectady,Initial visits,Housing condition,Smoker in home,Unknown,2,0.2,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Rensselaer,Revisits,Housing condition,"Mold or mildew, observed or smell",Improved,5,3.3,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Onondaga,Initial visits,Housing condition,"Walls, ceilings, stairs in good repair",Unknown,3,0.2,10/27/2017,"(43.065629, -76.168033)"
2009-2014,Niagara,Revisits,Housing condition,Improperly stored garbage near building,Yes,13,0.9,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Cortland,Initial visits,Housing condition,Food/harborage for cockroaches,No,863,96.3,10/27/2017,"(42.597101, -76.143291)"
2009-2014,Schenectady,Revisits,Housing condition,Wall-to-wall carpeting or large rugs,Unknown,2,1,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Rensselaer,Revisits,Housing condition,Food/harborage for cockroaches,Yes,6,2.4,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Orange,Initial visits,Housing information,Renter/owner,"Rent, public",43,4.6,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Tompkins,Revisits,Housing condition,Every room has ventilation,Improved,9,2.1,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Onondaga,Initial visits,Housing condition,Smell of scented products,Yes,31,1.1,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Niagara,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,No,227,17.4,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Tompkins,Initial visits,Housing information,Age of building,Post-1978,624,42.5,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Tompkins,Revisits,Housing condition,Functional smoke detector on every floor,Yes,257,61,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Monroe,Revisits,Housing condition,Effective housecleaning,Yes,202,87.4,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Broome,Initial visits,Housing condition,Deteriorated paint inside,Unknown,1,0.1,10/27/2017,"(42.122015, -75.933191)"
2006-2009,Onondaga,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,Yes,20,1.4,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Broome,Initial visits,Housing condition,Smoking limited to certain rooms,Yes,167,29.6,10/27/2017,"(42.122015, -75.933191)"
2006-2009,All counties,Initial visits,Respondent demographics,Race: White,White,6986,48.7,10/27/2017,
2014-2019,Orange,Initial visits,Housing condition,Smoking allowed in home,Yes,473,65.8,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Onondaga,Initial visits,Respondent demographics,Receives public assistance,Unknown,141,10.1,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Schenectady,Revisits,Housing condition,"Cockroaches, evidence or reported",Improved,2,1.1,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Albany,Revisits,Housing condition,Every room has ventilation,No,3,1.5,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Erie,Initial visits,Housing condition,Functional smoke detectors in common areas,No,1142,41.1,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Niagara,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,No,3125,91.1,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Erie,Initial visits,Housing condition,"Cockroaches, evidence or reported",No,3900,97.5,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Westchester,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",Yes,82,75.9,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Cayuga,Initial visits,Housing condition,Roofing or structural leaks,No,1,100,10/27/2017,"(42.940095, -76.560755)"
2009-2014,Erie,Initial visits,Housing condition,Chemical smell indoors,No,4227,99.7,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Tompkins,Initial visits,Respondent demographics,Receives public assistance,Yes,625,42.6,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Monroe,Revisits,Housing condition,Malfunctioning appliance that could cause indoor a,No,363,99.7,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Albany,Revisits,Housing condition,Improperly stored garbage inside,Unknown,30,12.9,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Tompkins,Revisits,Housing condition,Deteriorated paint inside,No,113,61.1,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Albany,Revisits,Housing condition,Humidifier or vaporizer used,No,24,92.3,10/27/2017,"(42.678066, -73.814233)"
2009-2014,Broome,Initial visits,Respondent demographics,Race: White,White,1,100,10/27/2017,"(42.122015, -75.933191)"
2014-2019,Rockland,Revisits,Housing condition,Improperly stored flammables,Unknown,1,1,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Rockland,Initial visits,Housing condition,Exits function properly,No,43,5,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Schenectady,Initial visits,Housing condition,Functional fire extinguisher,Unknown,7,1.2,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Niagara,Initial visits,Housing condition,Deteriorated paint outside,Not applicable,435,,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Erie,Initial visits,Housing condition,Every room has ventilation,Yes,4198,99,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Erie,Revisits,Housing condition,Furnace filter dirty or missing,No,868,77.2,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Westchester,Initial visits,Housing condition,Improperly stored flammables,Yes,2,1.1,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Onondaga,Revisits,Housing condition,Chemical smell indoors,Yes,9,2.9,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Rockland,Revisits,Housing condition,Significant clutter,No,94,95.9,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Oneida,Initial visits,Housing condition,Effective housecleaning,Yes,1026,94.5,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Orange,Initial visits,Housing condition,Smoker in home,No,1894,71.1,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Rensselaer,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,Unknown,10,0.7,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Orange,Revisits,Housing condition,Electrical hazards,Improved,4,0.8,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Clinton,Initial visits,Housing condition,Deteriorated paint outside,No,1103,84.5,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Onondaga,Initial visits,Housing condition,Functional smoke detectors in common areas,Unknown,204,14.6,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Onondaga,Revisits,Housing condition,Plumbing leaks,Yes,43,5.4,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Columbia,Revisits,Housing condition,Functional fire extinguisher,Improved,30,43.5,10/27/2017,"(42.276913, -73.682168)"
2009-2014,Onondaga,Revisits,Housing condition,Significant dust accumulation,No,724,90,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Schenectady,Initial visits,Respondent demographics,High school diploma or equivalent,Unknown,12,0.9,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Clinton,Initial visits,Housing condition,"Mold or mildew, observed or smell",Yes,292,14.1,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Onondaga,Initial visits,Housing condition,Working carbon monoxide detector,Unknown,17,0.6,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Tompkins,Initial visits,Housing condition,Food/harborage for cockroaches,Unknown,15,1,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Onondaga,Initial visits,Housing information,Units in building,4 units,123,4.2,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Rensselaer,Initial visits,Housing condition,Improperly stored garbage near building,No,491,92.1,10/27/2017,"(42.70098, -73.628669)"
2014-2019,NYC-Kings,Initial visits,Housing condition,Significant dust accumulation,No,80,74.8,10/27/2017,"(40.65642, -73.950691)"
2014-2019,Schenectady,Revisits,Housing condition,"Mice, evidence or reported",No,284,90.7,10/27/2017,"(42.809233, -73.946838)"
2009-2014,All counties,Revisits,Housing condition,Functional smoke detector on every floor,No,119,1.9,10/27/2017,
2009-2014,Rockland,Initial visits,Housing condition,Deteriorated paint inside,Yes,54,3.8,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Rockland,Revisits,Housing condition,Smoking allowed in home,No,4,30.8,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Oneida,Initial visits,Housing information,Rental assistance,Yes,335,51.8,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Oneida,Revisits,Housing condition,Functional fire extinguisher,Improved,129,62.6,10/27/2017,"(43.149482, -75.361773)"
2006-2009,Rensselaer,Revisits,Housing condition,Electrical hazards,No,145,96,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Rensselaer,Initial visits,Housing condition,Smell of scented products,No,2,100,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Westchester,Revisits,Housing condition,Food/harborage for cockroaches,Unknown,9,8.3,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Rensselaer,Revisits,Housing condition,Exits function properly,Yes,239,94.8,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Clinton,Revisits,Housing condition,Every room has ventilation,No,9,4.5,10/27/2017,"(44.731944, -73.548883)"
2014-2019,NYC-Bronx,Revisits,Housing condition,Smell of scented products,Unknown,2,2.4,10/27/2017,"(40.85589, -73.868294)"
2014-2019,Onondaga,Initial visits,Housing condition,"Cockroaches, evidence or reported",Unknown,3,0.1,10/27/2017,"(43.065629, -76.168033)"
2014-2019,NYC-Manhattan,Revisits,Housing condition,Improperly stored garbage near building,Unknown,2,12.5,10/27/2017,"(40.726966, -74.005966)"
2006-2009,Schenectady,Initial visits,Housing condition,Humidifier or vaporizer used,No,375,63.7,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Cortland,Revisits,Housing condition,Improperly stored garbage near building,Yes,3,1.3,10/27/2017,"(42.597101, -76.143291)"
2014-2019,Cayuga,Initial visits,Housing condition,Furnace filter dirty or missing,Unknown,204,17.3,10/27/2017,"(42.940095, -76.560755)"
2014-2019,Rensselaer,Revisits,Housing condition,Effective housecleaning,No,21,8.3,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Rensselaer,Revisits,Housing condition,Functional smoke detectors in common areas,Improved,4,1.6,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Rockland,Initial visits,Housing condition,Food/harborage for cockroaches,Unknown,21,1.2,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Westchester,Initial visits,Housing condition,Humidifier or vaporizer used,Unknown,18,9.7,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Schenectady,Initial visits,Housing condition,Smoking limited to certain rooms,Unknown,6,1.6,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Onondaga,Initial visits,Housing condition,Deteriorated paint inside,Not applicable,223,,10/27/2017,"(43.065629, -76.168033)"
2009-2014,Erie,Initial visits,Housing condition,Smell of scented products,No,4144,97.7,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Niagara,Initial visits,Housing condition,Deteriorated paint outside,Unknown,44,4.2,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Rensselaer,Revisits,Housing condition,Smoking limited to certain rooms,Not applicable,110,,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Cayuga,Initial visits,Housing condition,"Walls, ceilings, stairs in good repair",Unknown,11,0.9,10/27/2017,"(42.940095, -76.560755)"
2006-2009,All counties,Revisits,Housing condition,Working carbon monoxide detector,Yes,1939,58.5,10/27/2017,
2006-2009,Schenectady,Initial visits,Respondent demographics,Receives public assistance,Yes,333,56.5,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Westchester,Initial visits,Housing information,Age of building,Unknown,480,32.8,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Tompkins,Initial visits,Housing condition,Food/harborage for cockroaches,Yes,75,4.6,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Erie,Initial visits,Housing condition,Smell of scented products,Unknown,8,0.2,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Tompkins,Revisits,Housing condition,Deteriorated paint outside,Yes,28,12,10/27/2017,"(42.461024, -76.478784)"
2014-2019,All counties,Initial visits,Housing condition,Significant clutter,Yes,2582,9.5,10/27/2017,
2006-2009,Rockland,Initial visits,Housing condition,Residents practice exit drills,Unknown,52,6,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Cayuga,Revisits,Housing condition,Smoke detectors audible from sleeping spaces,No,1,0.6,10/27/2017,"(42.940095, -76.560755)"
2006-2009,Oneida,Initial visits,Respondent demographics,Hispanic ethnicity,Unknown,65,8.5,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Rockland,Revisits,Housing condition,Working carbon monoxide detector,Improved,100,40,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Schenectady,Revisits,Housing condition,Food/harborage for cockroaches,Yes,7,3.6,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Cortland,Revisits,Housing condition,Smoke detectors audible from sleeping spaces,Yes,226,97.8,10/27/2017,"(42.597101, -76.143291)"
2006-2009,Rockland,Initial visits,Housing condition,Every room has ventilation,Yes,798,92.4,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Rockland,Initial visits,Housing condition,Plumbing leaks,Yes,29,2.3,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Erie,Initial visits,Housing condition,Humidifier or vaporizer used,Unknown,53,1.2,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Rockland,Revisits,Housing condition,Roofing or structural leaks,Unknown,3,3.8,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Niagara,Initial visits,Housing condition,Improperly stored garbage inside,Yes,116,3.4,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Niagara,Revisits,Housing condition,"Cockroaches, evidence or reported",Unknown,3,0.5,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Cortland,Revisits,Housing condition,"Mold or mildew, observed or smell",Yes,8,3.5,10/27/2017,"(42.597101, -76.143291)"
2009-2014,Tompkins,Revisits,Housing condition,"Mice, evidence or reported",No,376,76.4,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Orange,Initial visits,Respondent demographics,Hispanic ethnicity,Yes,1053,39.1,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Onondaga,Revisits,Housing condition,Smoking limited to certain rooms,Not applicable,411,,10/27/2017,"(43.065629, -76.168033)"
2009-2014,Niagara,Initial visits,Respondent demographics,High school diploma or equivalent,Yes,2838,82.7,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Rensselaer,Revisits,Housing condition,Significant clutter,Yes,3,2,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Onondaga,Revisits,Housing condition,Improperly stored garbage inside,Yes,36,4.5,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Schenectady,Initial visits,Housing condition,Effective housecleaning,Yes,1059,80.9,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Cayuga,Initial visits,Housing condition,"Cockroaches, evidence or reported",No,1089,92.3,10/27/2017,"(42.940095, -76.560755)"
2006-2009,Rensselaer,Revisits,Housing condition,Improperly stored garbage near building,Yes,1,0.7,10/27/2017,"(42.70098, -73.628669)"
2006-2009,All counties,Revisits,Housing condition,Smell of scented products,Yes,424,12.8,10/27/2017,
2009-2014,Onondaga,Initial visits,Housing condition,Smell of scented products,No,2705,95,10/27/2017,"(43.065629, -76.168033)"
2009-2014,Clinton,Initial visits,Respondent demographics,Race: Native American,Native American,4,0.2,10/27/2017,"(44.731944, -73.548883)"
2014-2019,NYC-Manhattan,Initial visits,Housing condition,Residents practice exit drills,Unknown,38,86.4,10/27/2017,"(40.726966, -74.005966)"
2009-2014,Schenectady,Revisits,Housing condition,Electrical hazards,Improved,1,0.5,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Schenectady,Initial visits,Housing condition,Effective housecleaning,Yes,464,78.8,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Orange,Revisits,Housing condition,"Cockroaches, evidence or reported",Yes,42,17.9,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Monroe,Revisits,Housing condition,Deteriorated paint inside,Not applicable,59,,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Albany,Revisits,Housing condition,Working carbon monoxide detector,Improved,5,2.5,10/27/2017,"(42.678066, -73.814233)"
2009-2014,Tompkins,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",No,49,10,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Cayuga,Initial visits,Housing information,Age of building,Post-1978,1,100,10/27/2017,"(42.940095, -76.560755)"
2006-2009,Schenectady,Initial visits,Housing condition,Significant dust accumulation,Yes,50,8.5,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Albany,Initial visits,Housing condition,Functional smoke detector on every floor,No,118,16.8,10/27/2017,"(42.678066, -73.814233)"
